Trigramme_centrale,Centrale_nucleaire,Commune,Département,id_reacteur,Nom_du_reacteur,Rang,Palier,Puissance_therm_MWt,Puissance_brute_MWe,Puissance_nette_MWe,Debut_construction,Raccordement_au_reseau,Mise_en_service,longitude,latitude
BEL,Belleville,Belleville,Cher,BEL1,BELLEVILLE-1,54,P'4,3 817,1 363,1 310,1980,1987,1988,47.509722,2.875
BEL,Belleville,Belleville,Cher,BEL2,BELLEVILLE-2,55,P'4,3 817,1 363,1 310,1980,1988,1989,47.509722,2.875
BLA,Blayais,Braud-et-Saint-Louis,Gironde,BLA1,BLAYAIS-18,32,CP1,2 785,951,910,1977,1981,1981,45.256111,-0.690833
BLA,Blayais,Braud-et-Saint-Louis,Gironde,BLA2,BLAYAIS-28,33,CP1,2 785,951,910,1977,1982,1983,45.256111,-0.690833
BLA,Blayais,Braud-et-Saint-Louis,Gironde,BLA3,BLAYAIS-3,34,CP1,2 785,951,910,1978,1983,1983,45.256111,-0.690833
BLA,Blayais,Braud-et-Saint-Louis,Gironde,BLA4,BLAYAIS-4,35,CP1,2 785,951,910,1978,1983,1983,45.256111,-0.690833
BUG,Bugey,Saint-Vulbas,Ain,BUG2,BUGEY-2,13,CP0,2 785,945,910,1972,1978,1979,45.798333,5.270833
BUG,Bugey,Saint-Vulbas,Ain,BUG3,BUGEY-3,14,CP0,2 785,945,910,1973,1978,1979,45.798333,5.270833
BUG,Bugey,Saint-Vulbas,Ain,BUG4,BUGEY-4,15,CP0,2 785,917,880,1974,1979,1979,45.798333,5.270833
BUG,Bugey,Saint-Vulbas,Ain,BUG5,BUGEY-5,16,CP0,2 785,917,880,1974,1979,1980,45.798333,5.270833
CAT,Cattenom,Cattenom,Moselle,CAT1,CATTENOM-1,50,P'4,3 817,1 362,1 300,1979,1986,1987,49.415833,6.218056
CAT,Cattenom,Cattenom,Moselle,CAT2,CATTENOM-2,53,P'4,3 817,1 362,1 300,1980,1987,1988,49.415833,6.218056
CAT,Cattenom,Cattenom,Moselle,CAT3,CATTENOM-3,60,P'4,3 817,1 362,1 300,1982,1990,1991,49.415833,6.218056
CAT,Cattenom,Cattenom,Moselle,CAT4,CATTENOM-4,65,P'4,3 817,1 362,1 300,1983,1991,1992,49.415833,6.218056
CHI,Chinon-B,Avoine,Indre-et-Loire,CHB1,CHINON-B-18,40,CP2,2 785,954,905,1977,1982,1984,47.230556,0.170278
CHI,Chinon-B,Avoine,Indre-et-Loire,CHB2,CHINON-B-28,41,CP2,2 785,954,905,1977,1983,1984,47.230556,0.170278
CHI,Chinon-B,Avoine,Indre-et-Loire,CHB3,CHINON-B-38,56,CP2,2 785,954,905,1980,1986,1987,47.230556,0.170278
CHI,Chinon-B,Avoine,Indre-et-Loire,CHB4,CHINON-B-48,57,CP2,2 785,954,905,1981,1987,1988,47.230556,0.170278
CHO,Chooz-B,Chooz,Ardennes,CHO1,CHOOZ-B-1,62,N4,4 270,1 560,1 500,1984,1996,2000,50.09,4.790556
CHO,Chooz-B,Chooz,Ardennes,CHO2,CHOOZ-B-2,70,N4,4 270,1 560,1 500,1985,1997,2000,50.09,4.790556
CIV,Civaux,Civaux,Vienne,CIV1,CIVAUX-1,72,N4,4 270,1 561,1 495,1988,1997,2002,46.456667,0.652778
CIV,Civaux,Civaux,Vienne,CIV2,CIVAUX-2,73,N4,4 270,1 561,1 495,1991,1999,2002,46.456667,0.652778
CRU,Cruas,Cruas,Ardèche,CRU1,CRUAS-1,42,CP2,2 785,956,915,1978,1983,1984,44.633056,4.756667
CRU,Cruas,Cruas,Ardèche,CRU2,CRUAS-2,43,CP2,2 785,956,915,1978,1984,1985,44.633056,4.756667
CRU,Cruas,Cruas,Ardèche,CRU3,CRUAS-3,44,CP2,2 785,956,915,1979,1984,1984,44.633056,4.756667
CRU,Cruas,Cruas,Ardèche,CRU4,CRUAS-4,45,CP2,2 785,956,915,1979,1984,1985,44.633056,4.756667
DAM,Dampierre,Dampierre,Loiret,DAM1,DAMPIERRE-18,22,CP1,2 785,937,890,1975,1980,1980,47.733056,2.516667
DAM,Dampierre,Dampierre,Loiret,DAM2,DAMPIERRE-28,29,CP1,2 785,937,890,1975,1980,1981,47.733056,2.516667
DAM,Dampierre,Dampierre,Loiret,DAM3,DAMPIERRE-38,30,CP1,2 785,937,890,1975,1981,1981,47.733056,2.516667
DAM,Dampierre,Dampierre,Loiret,DAM4,DAMPIERRE-48,31,CP1,2 785,937,890,1975,1981,1981,47.733056,2.516667
FES,Fessenheim,Fessenheim,Haut-Rhin,FES1,FESSENHEIM-1,11,CP0,2 660,920,880,1971,1977,1978,47.903108,7.563036
FES,Fessenheim,Fessenheim,Haut-Rhin,FES2,FESSENHEIM-2,12,CP0,2 660,920,880,1972,1977,1978,47.903108,7.563036
FLA,Flamanville,Flamanville,Manche,FLA1,FLAMANVILLE-1,46,P4,3 817,1 382,1 330,1979,1985,1986,49.536389,-1.881667
FLA,Flamanville,Flamanville,Manche,FLA2,FLAMANVILLE-2,47,P4,3 817,1 382,1 330,1980,1986,1987,49.536389,-1.881667
GOL,Golfech,Golfech,Tarn-et-Garonne,GOL1,GOLFECH-1,61,P'4,3 817,1 363,1 310,1982,1990,1991,44.106667,0.845278
GOL,Golfech,Golfech,Tarn-et-Garonne,GOL2,GOLFECH-2,68,P'4,3 817,1 363,1 310,1984,1993,1994,44.106667,0.845278
GRA,Gravelines,Gravelines,Nord,GRA1,GRAVELINES-18,20,CP1,2 785,951,910,1975,1980,1980,51.014444,2.135
GRA,Gravelines,Gravelines,Nord,GRA2,GRAVELINES-28,21,CP1,2 785,951,910,1975,1980,1980,51.014444,2.135
